"","variance","skewness","curtosis","entropy","class"
"104",3.3397,-4.6145,3.9823,-0.23751,"authentic"
"105",4.2027,0.22761,0.96108,0.97282,"authentic"
"106",3.5438,1.2395,1.997,2.1547,"authentic"
"107",2.3136,10.6651,-3.5288,-4.7672,"authentic"
"108",-1.8584,7.886,-1.6643,-1.8384,"authentic"
"109",3.106,9.5414,-4.2536,-4.003,"authentic"
"110",2.9163,10.8306,-3.3437,-4.122,"authentic"
"111",3.9922,-4.4676,3.7304,-0.1095,"authentic"
"112",1.518,5.6946,0.094818,-0.026738,"authentic"
"113",3.2351,9.647,-3.2074,-2.5948,"authentic"
"114",4.2188,6.8162,-1.2804,0.76076,"authentic"
"115",1.7819,6.9176,-1.2744,-1.5759,"authentic"
"116",2.5331,2.9135,-0.822,-0.12243,"authentic"
"117",3.8969,7.4163,-1.8245,0.14007,"authentic"
"118",2.108,6.7955,-0.1708,0.4905,"authentic"
"119",2.8969,0.70768,2.29,1.8663,"authentic"
"120",0.9297,-3.7971,4.6429,-0.2957,"authentic"
"121",3.4642,10.6878,-3.4071,-4.109,"authentic"
"122",4.0713,10.4023,-4.1722,-4.7582,"authentic"
"123",-1.4572,9.1214,1.7425,-5.1241,"authentic"
"124",-1.5075,1.9224,7.1466,0.89136,"authentic"
"125",-0.91718,9.9884,1.1804,-5.2263,"authentic"
"126",2.994,7.2011,-1.2153,0.3211,"authentic"
"127",-2.343,12.9516,3.3285,-5.9426,"authentic"
"128",3.7818,-2.8846,2.2558,-0.15734,"authentic"
"129",4.6689,1.3098,0.055404,1.909,"authentic"
"130",3.4663,1.1112,1.7425,1.3388,"authentic"
"131",3.2697,-4.3414,3.6884,-0.29829,"authentic"
"132",5.1302,8.6703,-2.8913,-1.5086,"authentic"
"133",2.0139,6.1416,0.37929,0.56938,"authentic"
"134",0.4339,5.5395,2.033,-0.40432,"authentic"
"135",-1.0401,9.3987,0.85998,-5.3336,"authentic"
"136",4.1605,11.2196,-3.6136,-4.0819,"authentic"
"137",5.438,9.4669,-4.9417,-3.9202,"authentic"
"138",5.032,8.2026,-2.6256,-1.0341,"authentic"
"139",5.2418,10.5388,-4.1174,-4.2797,"authentic"
"140",-0.2062,9.2207,-3.7044,-6.8103,"authentic"
"141",2.0911,0.94358,4.5512,1.234,"authentic"
"142",1.7317,-0.34765,4.1905,-0.99138,"authentic"
"143",4.1736,3.3336,-1.4244,0.60429,"authentic"
"144",3.9232,-3.2467,3.4579,0.83705,"authentic"
"145",3.8481,10.1539,-3.8561,-4.2228,"authentic"
"146",0.5195,-3.2633,3.0895,-0.9849,"authentic"
"147",3.8584,0.78425,1.1033,1.7008,"authentic"
"148",1.7496,-0.1759,5.1827,1.2922,"authentic"
"149",3.6277,0.9829,0.68861,0.63403,"authentic"
"150",2.7391,7.4018,0.071684,-2.5302,"authentic"
"151",4.5447,8.2274,-2.4166,-1.5875,"authentic"
"152",-1.7599,11.9211,2.6756,-3.3241,"authentic"
"153",5.0691,0.21313,0.20278,1.2095,"authentic"
"154",3.4591,11.112,-4.2039,-5.0931,"authentic"
"155",1.9358,8.1654,-0.023425,-2.2586,"authentic"
"156",2.486,-0.99533,5.3404,-0.15475,"authentic"
"157",2.4226,-4.5752,5.947,0.21507,"authentic"
"158",3.9479,-3.7723,2.883,0.019813,"authentic"
"159",2.2634,-4.4862,3.6558,-0.61251,"authentic"
"160",1.3566,4.2358,2.1341,0.3211,"authentic"
"161",5.0452,3.8964,-1.4304,0.86291,"authentic"
"162",3.5499,8.6165,-3.2794,-1.2009,"authentic"
"163",0.17346,7.8695,0.26876,-3.7883,"authentic"
"164",2.4008,9.3593,-3.3565,-3.3526,"authentic"
"165",4.8851,1.5995,-0.00029081,1.6401,"authentic"
"166",4.1927,-3.2674,2.5839,0.21766,"authentic"
"167",1.1166,8.6496,-0.96252,-1.8112,"authentic"
"168",1.0235,6.901,-2.0062,-2.7125,"authentic"
"169",-1.803,11.8818,2.0458,-5.2728,"authentic"
"170",0.11739,6.2761,-1.5495,-2.4746,"authentic"
"171",0.5706,-0.0248,1.2421,-0.5621,"authentic"
"172",4.0552,-2.4583,2.2806,1.0323,"authentic"
"173",-1.6952,1.0657,8.8294,0.94955,"authentic"
"174",-1.1193,10.7271,2.0938,-5.6504,"authentic"
"175",1.8799,2.4707,2.4931,0.37671,"authentic"
"176",3.583,-3.7971,3.4391,-0.12501,"authentic"
"177",0.19081,9.1297,-3.725,-5.8224,"authentic"
"178",3.6582,5.6864,-1.7157,-0.23751,"authentic"
"179",-0.13144,-1.7775,8.3316,0.35214,"authentic"
"180",2.3925,9.798,-3.0361,-2.8224,"authentic"
"181",1.6426,3.0149,0.22849,-0.147,"authentic"
"182",-0.11783,-1.5789,8.03,-0.028031,"authentic"
"183",-0.69572,8.6165,1.8419,-4.3289,"authentic"
"184",2.9421,7.4101,-0.97709,-0.88406,"authentic"
"185",-1.7559,11.9459,3.0946,-4.8978,"authentic"
"186",-1.2537,10.8803,1.931,-4.3237,"authentic"
"187",3.2585,-4.4614,3.8024,-0.15087,"authentic"
"188",1.8314,6.3672,-0.036278,0.049554,"authentic"
"189",4.5645,-3.6275,2.8684,0.27714,"authentic"
"190",2.7365,-5.0325,6.6608,-0.57889,"authentic"
"191",0.9297,-3.7971,4.6429,-0.2957,"authentic"
"192",3.9663,10.1684,-4.1131,-4.6056,"authentic"
"193",1.4578,-0.08485,4.1785,0.59136,"authentic"
"194",4.8272,3.0687,0.68604,0.80731,"authentic"
"195",-2.341,12.3784,0.70403,-7.5836,"authentic"
"196",-1.8584,7.886,-1.6643,-1.8384,"authentic"
"197",4.1454,7.257,-1.9153,-0.86078,"authentic"
"198",1.9157,6.0816,0.23705,-2.0116,"authentic"
"199",4.0215,-2.1914,2.4648,1.1409,"authentic"
"200",5.8862,5.8747,-2.8167,-0.30087,"authentic"
"201",-2.0897,10.8265,2.3603,-3.4198,"authentic"
"202",4.0026,-3.5943,3.5573,0.26809,"authentic"
"203",-0.78689,9.5663,-3.7867,-7.5034,"authentic"
"204",4.1757,10.2615,-3.8552,-4.3056,"authentic"
"205",0.83292,7.5404,0.65005,-0.92544,"authentic"
"206",4.8077,2.2327,-0.26334,1.5534,"authentic"
"207",5.3063,5.2684,-2.8904,-0.52716,"authentic"
"208",2.5605,9.2683,-3.5913,-1.356,"authentic"
"209",2.1059,7.6046,-0.47755,-1.8461,"authentic"
"210",2.1721,-0.73874,5.4672,-0.72371,"authentic"
"211",4.2899,9.1814,-4.6067,-4.3263,"authentic"
"212",3.5156,10.1891,-4.2759,-4.978,"authentic"
"213",2.614,8.0081,-3.7258,-1.3069,"authentic"
"214",0.68087,2.3259,4.9085,0.54998,"authentic"
"215",4.1962,0.74493,0.83256,0.753,"authentic"
"216",6.0919,2.9673,-1.3267,1.4551,"authentic"
"217",1.3234,3.2964,0.2362,-0.11984,"authentic"
"218",1.3264,1.0326,5.6566,-0.41337,"authentic"
"219",-0.16735,7.6274,1.2061,-3.6241,"authentic"
"220",-1.3,10.2678,-2.953,-5.8638,"authentic"
"221",-2.2261,12.5398,2.9438,-3.5258,"authentic"
"222",2.4196,6.4665,-0.75688,0.228,"authentic"
"223",1.0987,0.6394,5.989,-0.58277,"authentic"
"224",4.6464,10.5326,-4.5852,-4.206,"authentic"
"225",-0.36038,4.1158,3.1143,-0.37199,"authentic"
"226",1.3562,3.2136,4.3465,0.78662,"authentic"
"227",0.5706,-0.0248,1.2421,-0.5621,"authentic"
"228",-2.6479,10.1374,-1.331,-5.4707,"authentic"
"229",3.1219,-3.137,1.9259,-0.37458,"authentic"
"230",5.4944,1.5478,0.041694,1.9284,"authentic"
"231",-1.3389,1.552,7.0806,1.031,"authentic"
"232",-2.3361,11.9604,3.0835,-5.4435,"authentic"
"233",2.2596,-0.033118,4.7355,-0.2776,"authentic"
"234",0.46901,-0.63321,7.3848,0.36507,"authentic"
"235",2.7296,2.8701,0.51124,0.5099,"authentic"
"236",2.0466,2.03,2.1761,-0.083634,"authentic"
"237",-1.3274,9.498,2.4408,-5.2689,"authentic"
"238",3.8905,-2.1521,2.6302,1.1047,"authentic"
"239",3.9994,0.90427,1.1693,1.6892,"authentic"
"240",2.3952,9.5083,-3.1783,-3.0086,"authentic"
"241",3.2704,6.9321,-1.0456,0.23447,"authentic"
"242",-1.3931,1.5664,7.5382,0.78403,"authentic"
"243",1.6406,3.5488,1.3964,-0.36424,"authentic"
"244",2.7744,6.8576,-1.0671,0.075416,"authentic"
"245",2.4287,9.3821,-3.2477,-1.4543,"authentic"
"246",4.2134,-2.806,2.0116,0.67412,"authentic"
"247",1.6472,0.48213,4.7449,1.225,"authentic"
"248",2.0597,-0.99326,5.2119,-0.29312,"authentic"
"249",0.3798,0.7098,0.7572,-0.4444,"authentic"
"250",1.0135,8.4551,-1.672,-2.0815,"authentic"
"251",4.5691,-4.4552,3.1769,0.0042961,"authentic"
"252",0.57461,10.1105,-1.6917,-4.3922,"authentic"
"253",0.5734,9.1938,-0.9094,-1.872,"authentic"
"254",5.2868,3.257,-1.3721,1.1668,"authentic"
"255",4.0102,10.6568,-4.1388,-5.0646,"authentic"
"256",4.1425,-3.6792,3.8281,1.6297,"authentic"
"257",3.0934,-2.9177,2.2232,0.22283,"authentic"
"258",2.2034,5.9947,0.53009,0.84998,"authentic"
"259",3.744,0.79459,0.95851,1.0077,"authentic"
"260",3.0329,2.2948,2.1135,0.35084,"authentic"
"261",3.7731,7.2073,-1.6814,-0.94742,"authentic"
"262",3.1557,2.8908,0.59693,0.79825,"authentic"
"263",1.8114,7.6067,-0.9788,-2.4668,"authentic"
"264",4.988,7.2052,-3.2846,-1.1608,"authentic"
"265",2.483,6.6155,-0.79287,-0.90863,"authentic"
"266",1.594,4.7055,1.3758,0.081882,"authentic"
"267",-0.016103,9.7484,0.15394,-1.6134,"authentic"
"268",3.8496,9.7939,-4.1508,-4.4582,"authentic"
"269",0.9297,-3.7971,4.6429,-0.2957,"authentic"
"270",4.9342,2.4107,-0.17594,1.6245,"authentic"
"271",3.8417,10.0215,-4.2699,-4.9159,"authentic"
"272",5.3915,9.9946,-3.8081,-3.3642,"authentic"
"273",4.4072,-0.070365,2.0416,1.1319,"authentic"
"274",2.6946,6.7976,-0.40301,0.44912,"authentic"
"275",5.2756,0.13863,0.12138,1.1435,"authentic"
"276",3.4312,6.2637,-1.9513,-0.36165,"authentic"
"277",4.052,-0.16555,0.45383,0.51248,"authentic"
"278",1.3638,-4.7759,8.4182,-1.8836,"authentic"
"279",0.89566,7.7763,-2.7473,-1.9353,"authentic"
"280",1.9265,7.7557,-0.16823,-3.0771,"authentic"
"281",0.20977,-0.46146,7.7267,0.90946,"authentic"
"282",4.068,-2.9363,2.1992,0.50084,"authentic"
"283",2.877,-4.0599,3.6259,-0.32544,"authentic"
"284",0.3223,-0.89808,8.0883,0.69222,"authentic"
"285",-1.3,10.2678,-2.953,-5.8638,"authentic"
"286",1.7747,-6.4334,8.15,-0.89828,"authentic"
"287",1.3419,-4.4221,8.09,-1.7349,"authentic"
"288",0.89606,10.5471,-1.4175,-4.0327,"authentic"
"289",0.44125,2.9487,4.3225,0.7155,"authentic"
"290",3.2422,6.2265,0.12224,-1.4466,"authentic"
"291",2.5678,3.5136,0.61406,-0.40691,"authentic"
"292",-2.2153,11.9625,0.078538,-7.7853,"authentic"
"293",4.1349,6.1189,-2.4294,-0.19613,"authentic"
"294",1.934,-9.2828e-06,4.816,-0.33967,"authentic"
"295",2.5068,1.1588,3.9249,0.12585,"authentic"
"296",2.1464,6.0795,-0.5778,-2.2302,"authentic"
"297",0.051979,7.0521,-2.0541,-3.1508,"authentic"
"298",1.2706,8.035,-0.19651,-2.1888,"authentic"
"299",1.143,0.83391,5.4552,-0.56984,"authentic"
"300",2.2928,9.0386,-3.2417,-1.2991,"authentic"
"301",0.3292,-4.4552,4.5718,-0.9888,"authentic"
"302",2.9719,6.8369,-0.2702,0.71291,"authentic"
"303",1.6849,8.7489,-1.2641,-1.3858,"authentic"
"304",-1.9177,11.6894,2.5454,-3.2763,"authentic"
"305",2.3729,10.4726,-3.0087,-3.2013,"authentic"
"306",1.0284,9.767,-1.3687,-1.7853,"authentic"
"307",0.27451,9.2186,-3.2863,-4.8448,"authentic"
"308",1.6032,-4.7863,8.5193,-2.1203,"authentic"
"309",4.616,10.1788,-4.2185,-4.4245,"authentic"
"310",4.2478,7.6956,-2.7696,-1.0767,"authentic"
"311",4.0215,-2.7004,2.4957,0.36636,"authentic"
"312",5.0297,-4.9704,3.5025,-0.23751,"authentic"
"313",1.5902,2.2948,3.2403,0.18404,"authentic"
"314",2.1274,5.1939,-1.7971,-1.1763,"authentic"
"315",1.1811,8.3847,-2.0567,-0.90345,"authentic"
"316",0.3292,-4.4552,4.5718,-0.9888,"authentic"
"317",5.7353,5.2808,-2.2598,0.075416,"authentic"
"318",2.6718,5.6574,0.72974,-1.4892,"authentic"
"319",1.5799,-4.7076,7.9186,-1.5487,"authentic"
"320",2.9499,2.2493,1.3458,-0.037083,"authentic"
"321",0.5195,-3.2633,3.0895,-0.9849,"authentic"
"322",3.7352,9.5911,-3.9032,-3.3487,"authentic"
"323",-1.7344,2.0175,7.7618,0.93532,"authentic"
"324",3.884,10.0277,-3.9298,-4.0819,"authentic"
"325",3.5257,1.2829,1.9276,1.7991,"authentic"
"326",4.4549,2.4976,1.0313,0.96894,"authentic"
"327",-0.16108,-6.4624,8.3573,-1.5216,"authentic"
"328",4.2164,9.4607,-4.9288,-5.2366,"authentic"
"329",3.5152,6.8224,-0.67377,-0.46898,"authentic"
"330",1.6988,2.9094,2.9044,0.11033,"authentic"
"331",1.0607,2.4542,2.5188,-0.17027,"authentic"
"332",2.0421,1.2436,4.2171,0.90429,"authentic"
"333",3.5594,1.3078,1.291,1.6556,"authentic"
"334",3.0009,5.8126,-2.2306,-0.66553,"authentic"
"335",3.9294,1.4112,1.8076,0.89782,"authentic"
"336",3.4667,-4.0724,4.2882,1.5418,"authentic"
"337",3.966,3.9213,0.70574,0.33662,"authentic"
"338",1.0191,2.33,4.9334,0.82929,"authentic"
"339",0.96414,5.616,2.2138,-0.12501,"authentic"
"340",1.8205,6.7562,0.0099913,0.39481,"authentic"
"341",4.9923,7.8653,-2.3515,-0.71984,"authentic"
"342",-1.1804,11.5093,0.15565,-6.8194,"authentic"
"343",4.0329,0.23175,0.89082,1.1823,"authentic"
"344",0.66018,10.3878,-1.4029,-3.9151,"authentic"
"345",3.5982,7.1307,-1.3035,0.21248,"authentic"
"346",-1.8584,7.886,-1.6643,-1.8384,"authentic"
"347",4.0972,0.46972,1.6671,0.91593,"authentic"
"348",3.3299,0.91254,1.5806,0.39352,"authentic"
"349",3.1088,3.1122,0.80857,0.4336,"authentic"
"350",-4.2859,8.5234,3.1392,-0.91639,"authentic"
"351",-1.2528,10.2036,2.1787,-5.6038,"authentic"
"352",0.5195,-3.2633,3.0895,-0.9849,"authentic"
"353",0.3292,-4.4552,4.5718,-0.9888,"authentic"
"354",0.88872,5.3449,2.045,-0.19355,"authentic"
"355",3.5458,9.3718,-4.0351,-3.9564,"authentic"
"356",-0.21661,8.0329,1.8848,-3.8853,"authentic"
"357",2.7206,9.0821,-3.3111,-0.96811,"authentic"
"358",3.2051,8.6889,-2.9033,-0.7819,"authentic"
"359",2.6917,10.8161,-3.3,-4.2888,"authentic"
"360",-2.3242,11.5176,1.8231,-5.375,"authentic"
"361",2.7161,-4.2006,4.1914,0.16981,"authentic"
"362",3.3848,3.2674,0.90967,0.25128,"authentic"
"363",1.7452,4.8028,2.0878,0.62627,"authentic"
"364",2.805,0.57732,1.3424,1.2133,"authentic"
"365",5.7823,5.5788,-2.4089,-0.056479,"authentic"
"366",3.8999,1.734,1.6011,0.96765,"authentic"
"367",3.5189,6.332,-1.7791,-0.020273,"authentic"
"368",3.2294,7.7391,-0.37816,-2.5405,"authentic"
"369",3.4985,3.1639,0.22677,-0.1651,"authentic"
"370",2.1948,1.3781,1.1582,0.85774,"authentic"
"371",2.2526,9.9636,-3.1749,-2.9944,"authentic"
"372",4.1529,-3.9358,2.8633,-0.017686,"authentic"
"373",0.74307,11.17,-1.3824,-4.0728,"authentic"
"374",1.9105,8.871,-2.3386,-0.75604,"authentic"
"375",-1.5055,0.070346,6.8681,-0.50648,"authentic"
"376",0.58836,10.7727,-1.3884,-4.3276,"authentic"
"377",3.2303,7.8384,-3.5348,-1.2151,"authentic"
"378",-1.9922,11.6542,2.6542,-5.2107,"authentic"
"379",2.8523,9.0096,-3.761,-3.3371,"authentic"
"380",4.2772,2.4955,0.48554,0.36119,"authentic"
"381",1.5099,0.039307,6.2332,-0.30346,"authentic"
"382",5.4188,10.1457,-4.084,-3.6991,"authentic"
"383",0.86202,2.6963,4.2908,0.54739,"authentic"
"384",3.8117,10.1457,-4.0463,-4.5629,"authentic"
"385",0.54777,10.3754,-1.5435,-4.1633,"authentic"
"386",2.3718,7.4908,0.015989,-1.7414,"authentic"
"387",-2.4953,11.1472,1.9353,-3.4638,"authentic"
"388",4.6361,-2.6611,2.8358,1.1991,"authentic"
"389",-2.2527,11.5321,2.5899,-3.2737,"authentic"
"390",3.7982,10.423,-4.1602,-4.9728,"authentic"
"391",-0.36279,8.2895,-1.9213,-3.3332,"authentic"
"392",2.1265,6.8783,0.44784,-2.2224,"authentic"
"393",0.86736,5.5643,1.6765,-0.16769,"authentic"
"394",3.7831,10.0526,-3.8869,-3.7366,"authentic"
"395",-2.2623,12.1177,0.28846,-7.7581,"authentic"
"396",1.2616,4.4303,-1.3335,-1.7517,"authentic"
"397",2.6799,3.1349,0.34073,0.58489,"authentic"
"398",-0.39816,5.9781,1.3912,-1.1621,"authentic"
"399",4.3937,0.35798,2.0416,1.2004,"authentic"
"400",2.9695,5.6222,0.27561,-1.1556,"authentic"
"401",1.3049,-0.15521,6.4911,-0.75346,"authentic"
"402",2.2123,-5.8395,7.7687,-0.85302,"authentic"
"403",1.9647,6.9383,0.57722,0.66377,"authentic"
"404",3.0864,-2.5845,2.2309,0.30947,"authentic"
"405",0.3798,0.7098,0.7572,-0.4444,"authentic"
"406",0.58982,7.4266,1.2353,-2.9595,"authentic"
"407",0.14783,7.946,1.0742,-3.3409,"authentic"
"408",-0.062025,6.1975,1.099,-1.131,"authentic"
"409",4.223,1.1319,0.72202,0.96118,"authentic"
"410",0.64295,7.1018,0.3493,-0.41337,"authentic"
"411",1.941,0.46351,4.6472,1.0879,"authentic"
"412",4.0047,0.45937,1.3621,1.6181,"authentic"
"413",3.7767,9.7794,-3.9075,-3.5323,"authentic"
"414",3.4769,-0.15314,2.53,2.4495,"authentic"
"415",1.9818,9.2621,-3.521,-1.872,"authentic"
"416",3.8023,-3.8696,4.044,0.95343,"authentic"
"417",4.3483,11.1079,-4.0857,-4.2539,"authentic"
"418",1.1518,1.3864,5.2727,-0.43536,"authentic"
"419",-1.2576,1.5892,7.0078,0.42455,"authentic"
"420",1.9572,-5.1153,8.6127,-1.4297,"authentic"
"421",-2.484,12.1611,2.8204,-3.7418,"authentic"
"422",-1.1497,1.2954,7.701,0.62627,"authentic"
"423",4.8368,10.0132,-4.3239,-4.3276,"authentic"
"424",-0.12196,8.8068,0.94566,-4.2267,"authentic"
"425",1.9429,6.3961,0.092248,0.58102,"authentic"
"426",1.742,-4.809,8.2142,-2.0659,"authentic"
"427",-1.5222,10.8409,2.7827,-4.0974,"authentic"
"428",-1.3,10.2678,-2.953,-5.8638,"authentic"
"429",3.4246,-0.14693,0.80342,0.29136,"authentic"
"430",2.5503,-4.9518,6.3729,-0.41596,"authentic"
"431",1.5691,6.3465,-0.1828,-2.4099,"authentic"
"432",1.3087,4.9228,2.0013,0.22024,"authentic"
"433",5.1776,8.2316,-3.2511,-1.5694,"authentic"
"434",2.229,9.6325,-3.1123,-2.7164,"authentic"
"435",5.6272,10.0857,-4.2931,-3.8142,"authentic"
"436",1.2138,8.7986,-2.1672,-0.74182,"authentic"
"437",0.3798,0.7098,0.7572,-0.4444,"authentic"
"438",0.5415,6.0319,1.6825,-0.46122,"authentic"
"439",4.0524,5.6802,-1.9693,0.026279,"authentic"
"440",4.7285,2.1065,-0.28305,1.5625,"authentic"
"441",3.4359,0.66216,2.1041,1.8922,"authentic"
"442",0.86816,10.2429,-1.4912,-4.0082,"authentic"
"443",3.359,9.8022,-3.8209,-3.7133,"authentic"
"444",3.6702,2.9942,0.85141,0.30688,"authentic"
"445",1.3349,6.1189,0.46497,0.49826,"authentic"
"446",3.1887,-3.4143,2.7742,-0.2026,"authentic"
"447",2.4527,2.9653,0.20021,-0.056479,"authentic"
"448",3.9121,2.9735,0.92852,0.60558,"authentic"
"449",3.9364,10.5885,-3.725,-4.3133,"authentic"
"450",3.9414,-3.2902,3.1674,1.0866,"authentic"
"451",3.6922,-3.9585,4.3439,1.3517,"authentic"
"452",5.681,7.795,-2.6848,-0.92544,"authentic"
"453",0.77124,9.0862,-1.2281,-1.4996,"authentic"
"454",3.5761,9.7753,-3.9795,-3.4638,"authentic"
"455",1.602,6.1251,0.52924,0.47886,"authentic"
"456",2.6682,10.216,-3.4414,-4.0069,"authentic"
"457",2.0007,1.8644,2.6491,0.47369,"authentic"
"458",0.64215,3.1287,4.2933,0.64696,"authentic"
"459",4.3848,-3.0729,3.0423,1.2741,"authentic"
"460",0.77445,9.0552,-2.4089,-1.3884,"authentic"
"461",0.96574,8.393,-1.361,-1.4659,"authentic"
"462",3.0948,8.7324,-2.9007,-0.96682,"authentic"
"463",4.9362,7.6046,-2.3429,-0.85302,"authentic"
